name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,result
by1,-0.124346569,0.034074858,0.086318374,-0.076911874,-0.0981161,-0.010749275,-0.058075435,-0.131122336,0.136725351,-0.182120025,0.18897,-0.140584722,-0.229306832,-0.010838964,-0.131035417,0.305530876,-0.181714237,-0.179356173,-0.013223531,0.011427185,0.079547912,0.040971436,-0.0348453,0.06916479,-0.097745821,-0.320992947,-0.110061839,-0.022669692,-0.029378917,-0.075675152,-0.063035831,0.071309857,-0.17822504,-0.011358833,0.051485192,0.131910905,0.055055581,-0.148069292,0.148642465,0.022496443,-0.302403152,0.046135809,0.143700317,0.204567656,0.100133426,0.029295379,-0.014412271,-0.156721592,0.09870895,-0.189307511,0.009059329,0.074813001,0.114862405,0.044523519,0.001108756,-0.190274164,0.057688743,0.10639222,-0.12959224,0.010613034,0.096360825,-0.083027713,0.050340869,-0.074320033,0.157389328,0.080308966,-0.066993326,-0.187026918,0.187106758,-0.129645512,-0.045298692,0.067800805,-0.122115716,-0.168580607,-0.278884023,-0.043769233,0.34104237,0.110683784,-0.157731295,0.055889074,0.02560756,0.032698236,0.107789516,0.189121544,0.035905778,0.004479437,-0.067464985,-0.010566407,0.260122687,-0.049838811,0.008070236,0.19954744,-0.005112969,0.026281308,-0.003043559,0.019837974,-0.06635996,0.067313008,-0.090607882,0.018283945,-0.02520917,0.001609731,-0.009162426,0.136646822,-0.179400444,0.061452359,-0.039819695,-0.032645427,0.006416698,0.067101501,-0.052994274,-0.042817451,0.111175857,-0.20871672,0.154842556,0.216740236,0.013663062,0.095566466,0.100059152,0.13143152,0.032282472,-0.038362861,-0.223856628,-0.050077908,0.111403093,-0.095848069,0.058737285,0.025295937,dog_girl
by2,-0.101912767,0.101597786,0.033475023,-0.130846918,-0.141829655,-0.005577832,-0.066839449,-0.069299318,0.151759833,-0.182652324,0.189428255,-0.148369193,-0.21291633,0.010595361,-0.074921116,0.250002623,-0.164706215,-0.184178367,-0.099507414,0.025618928,0.072238117,0.071218871,-0.037000492,0.06985914,-0.090240657,-0.335252523,-0.053310432,-0.025852371,-0.003678198,-0.064555161,-0.066823065,0.09970279,-0.19520627,-0.032812648,0.063129939,0.153317943,-0.00874616,-0.074367516,0.117136836,-0.014959855,-0.352957934,0.067484275,0.113874674,0.244930014,0.188535437,0.015173615,-0.04035303,-0.105138585,0.069362484,-0.207097143,0.033961926,0.126860648,0.064569935,0.081036121,0.046793364,-0.148175418,0.069166675,0.109213307,-0.113451242,-0.01440817,0.166379049,-0.085103936,0.036731627,-0.094246186,0.189524844,0.060971055,-0.095753781,-0.23369576,0.124810688,-0.159555882,-0.059125312,0.131940871,-0.145004869,-0.15535067,-0.25910309,-0.013252402,0.329532206,0.173513889,-0.1304546,0.082736373,0.043933034,0.04122987,0.132873729,0.15659453,0.030047348,0.042018846,-0.078168154,0.044437386,0.237781376,-0.041630529,-0.028360106,0.241717443,-0.014879799,0.007659828,0.011975601,0.021099655,-0.041569155,0.027483638,-0.139708474,0.015956102,0.023040993,-0.014032076,-0.04145864,0.138572767,-0.113150261,0.098732725,-0.069579884,0.086761825,-0.014313264,0.060278125,-0.043294877,-0.038003903,0.114313267,-0.189189777,0.180989921,0.163315013,0.055923875,0.034053557,0.146746546,0.063275039,0.048626527,-0.038328711,-0.246940672,-0.052727871,0.107955784,-0.06404116,0.105233908,0.037090413,dog_girl
by3,-0.05892048,0.096798502,0.032038651,-0.102585286,-0.151959822,-0.024184078,-0.106447622,-0.128065646,0.132547393,-0.153515428,0.169449776,-0.084337957,-0.231653363,-0.040526439,-0.082242049,0.240559474,-0.161984712,-0.192301288,-0.040439203,0.026915938,0.075010091,0.075260378,0.01782776,0.012832586,-0.103520982,-0.344357878,-0.080673791,-0.046315961,-0.039259363,-0.050959259,-0.006041137,0.060661692,-0.176227704,0.006452056,0.069753304,0.094745569,0.008289164,-0.083143532,0.137100741,-0.001750165,-0.35742414,0.026564924,0.105962291,0.232894689,0.175163344,-0.01108483,-0.004647378,-0.14432089,0.086989418,-0.144785717,0.018673502,0.114538394,0.038520951,0.04082701,0.033061702,-0.123028696,0.045219988,0.124473624,-0.144191474,-0.011124934,0.155188113,-0.076317616,0.004149808,-0.10712681,0.181591883,0.017211609,-0.112050936,-0.240394026,0.111302584,-0.158232942,-0.079808041,0.114831395,-0.166441903,-0.197011024,-0.293129802,-0.031016488,0.303526133,0.161014959,-0.126795486,0.076610282,0.047835246,0.039491378,0.117118321,0.17596297,0.065359555,0.079382129,-0.080719084,0.041024059,0.240927845,-0.102562234,-0.033006169,0.258448094,-0.042218514,0.050113063,-0.030655643,0.029441606,-0.056501284,0.067710511,-0.157482132,-0.001034816,0.032288972,0.030202392,0.016982928,0.126076698,-0.080437317,0.072216503,-0.035270482,0.064342551,-0.026275601,0.018390037,-0.074235789,-0.076497242,0.12420398,-0.172005802,0.209218934,0.170126796,0.095431671,0.044421729,0.157558322,0.036736656,0.031862281,-0.066192567,-0.228137985,-0.015795315,0.09764304,-0.051278453,0.109549001,0.01768782,dog_girl
by4,-0.093312256,0.055796251,-0.002799545,-0.090486303,-0.095352218,-0.022497851,-0.060060911,-0.100455709,0.119248971,-0.165631533,0.159603581,-0.159522921,-0.222498402,0.018367469,-0.061990216,0.234406143,-0.132898748,-0.149963781,-0.064666755,0.012314033,0.080595829,0.059267346,-0.06230608,0.118958928,-0.085028663,-0.301645488,-0.127687305,-0.035473529,-0.004984394,-0.052842248,-0.095734991,0.077333711,-0.167312607,-0.039354827,0.043405145,0.100631408,0.0489453,-0.071289197,0.156632408,0.020148493,-0.285553217,0.099020183,0.134427398,0.236102134,0.129352018,0.022923589,-0.001571633,-0.122202262,0.087108895,-0.151464775,0.026387282,0.113163203,0.107937314,0.06553033,0.00423567,-0.143300772,0.058648951,0.115487427,-0.16898942,0.043245986,0.130032957,-0.073104918,0.002506984,-0.079813294,0.193671897,0.088883281,-0.067127481,-0.247505248,0.160364896,-0.187997565,-0.084153436,0.07735128,-0.142541826,-0.146944553,-0.273510098,0.00479817,0.312256575,0.145541906,-0.164038032,0.155902788,0.037429556,-0.01397045,0.136372685,0.161556005,0.027444283,0.04158625,-0.047974892,0.030202664,0.25315848,-0.019736897,0.013374575,0.215025276,0.013737895,0.032334499,0.050145969,0.020005003,-0.060516704,-0.004440418,-0.114291891,0.027929712,-0.001199109,-0.026484102,-0.016928447,0.115472518,-0.157248586,0.14112106,-0.059509102,0.011602812,-0.031264592,0.078140013,-0.050159648,-0.019212207,0.12936005,-0.203848571,0.156030506,0.13327381,0.037811588,0.04608833,0.097394198,0.115019478,0.02700194,0.003489975,-0.264283866,-0.054682806,0.143295705,-0.100818336,0.105585366,0.045244165,dog_girl
by5,-0.033154313,0.109763563,0.045714963,-0.088818297,-0.155378386,0.004706176,-0.074869916,-0.111312672,0.114653297,-0.12020538,0.2014824,-0.068392664,-0.214344457,-0.066948585,-0.047568679,0.267651021,-0.245335445,-0.198715687,-0.008397395,-0.004291167,0.047710683,0.052940685,0.02223875,0.053856753,-0.14101547,-0.32388556,-0.033162378,-0.056614075,-0.011997619,-0.099800915,-0.038781013,0.021630486,-0.183594987,0.032380804,0.088964656,0.097802438,-0.016590003,-0.104382277,0.161696136,-0.000909016,-0.301143169,0.040439423,0.148278162,0.178057715,0.159085318,0.044902671,-0.009341188,-0.164107442,0.143313348,-0.164802402,0.039702043,0.13165459,0.084528327,0.022683185,0.024754912,-0.143713459,0.012536454,0.112440571,-0.136383295,0.006102531,0.123715207,-0.01924685,0.021546792,-0.118093126,0.199217647,0.020855945,-0.098571785,-0.213846445,0.143062174,-0.151480988,-0.144275069,0.097748533,-0.117340066,-0.184053913,-0.279860854,-0.052327614,0.308235526,0.136321366,-0.160083532,0.025229089,0.033431198,0.010965532,0.082830384,0.153088003,0.005232198,0.010600712,-0.100462548,-0.008151395,0.281174064,-0.076254785,-0.00827011,0.217888162,-0.00527824,0.071495928,-0.031166537,-0.010566845,-0.085853808,0.082915187,-0.14832522,-0.038872011,-0.01999934,0.014096688,-0.005976279,0.159016639,-0.140681133,0.073414572,-0.036074176,-0.006291965,-0.010660695,0.09282735,-0.109890312,-0.09990824,0.111431621,-0.208309919,0.217708081,0.200153276,0.095066011,0.038790822,0.127804652,0.086221226,0.019202124,-0.047827166,-0.216016695,-0.04784666,0.102287196,-0.108940251,0.097873718,0.016418552,dog_girl
by6,-0.082497746,0.076848276,0.027987074,-0.107206225,-0.093891427,0.010127993,-0.095503829,-0.092790082,0.140108868,-0.149586633,0.195489332,-0.103555553,-0.245851964,-0.020686263,-0.047593929,0.243550807,-0.214759916,-0.142718971,-0.007857529,0.008534319,0.071475424,0.032251403,-0.058255527,0.054071441,-0.104269974,-0.308860749,-0.102049969,-0.035691373,-0.074434713,-0.056026712,-0.058929838,0.055786002,-0.168673992,-0.016274437,0.052509405,0.129644275,-0.006795592,-0.108388573,0.120590001,-0.018040778,-0.247174442,0.069787115,0.13337189,0.204784319,0.148427621,-0.022652911,-0.009321526,-0.164545983,0.099377587,-0.165852755,0.033848807,0.121603087,0.099934518,0.067068636,0.023114793,-0.171441212,0.036042351,0.11752893,-0.166552216,0.00876223,0.138354018,-0.061877526,0.019580493,-0.125100657,0.185469374,0.113050334,-0.109471865,-0.27464205,0.114259183,-0.128957033,-0.076686352,0.083092265,-0.15276964,-0.210721582,-0.279729128,0.007167866,0.293800235,0.139111489,-0.158305824,0.088597603,0.009774117,-0.041238464,0.110497519,0.164116964,0.061129473,0.024169639,-0.070567913,0.050518733,0.239965856,-0.055656992,-0.019450719,0.188535571,-0.02864879,0.036556087,0.004285556,0.012511965,-0.088204965,0.070037387,-0.161516964,0.014569263,-0.051560994,-0.025966711,-0.022318272,0.111724302,-0.091980852,0.107543804,-0.020523861,0.003572032,-0.059063859,0.00660596,-0.105607532,-0.008535256,0.148086995,-0.227613002,0.197858796,0.114282921,0.093984894,0.088739991,0.122688279,0.107907534,0.011554863,-0.041122653,-0.256258845,0.004420646,0.090007566,-0.054575101,0.123745888,0.028072987,dog_girl
by7,-0.116633892,0.05826693,0.021221217,-0.13253215,-0.085015647,-0.007465782,-0.078757316,-0.0922741,0.123042509,-0.178311765,0.183307067,-0.133315548,-0.203675315,-0.017020117,-0.069074892,0.229656309,-0.181259841,-0.148999646,-0.022535315,0.006675022,0.074012272,0.033951402,-0.089666903,0.056991454,-0.09109506,-0.298295975,-0.115118206,-0.020719724,-0.03884485,-0.056364048,-0.057969783,0.045009904,-0.179059267,-0.008882539,0.055871677,0.144177809,-0.012287803,-0.101543412,0.125694096,-0.000503453,-0.240472764,0.078957573,0.134959593,0.208144024,0.138217434,0.011551387,-0.015799496,-0.148121059,0.108764403,-0.162297964,0.035974167,0.12049374,0.09346962,0.082858272,0.02601124,-0.129518345,0.044526659,0.13153851,-0.163440064,0.025260156,0.142179638,-0.051480655,-0.023553986,-0.118562706,0.18294701,0.126786143,-0.112776518,-0.267067432,0.15951708,-0.156035051,-0.083297782,0.090341464,-0.119331174,-0.18436867,-0.220548227,0.032716572,0.286550403,0.165383458,-0.149063498,0.076172993,0.032480396,-0.020474751,0.12706852,0.146658942,0.036402587,0.023338344,-0.038041979,0.020491466,0.2524212,-0.010445975,-0.012095984,0.187232226,-0.013791001,0.016209729,0.010133235,0.002748723,-0.070172518,0.033972722,-0.140300557,-0.008736225,-0.001566646,-0.037990466,-0.034824841,0.131183237,-0.105171949,0.146147028,-0.055077057,0.009421954,-0.039066296,0.031644236,-0.072710685,0.008272989,0.121440902,-0.211332873,0.191916823,0.1172814,0.076517992,0.065111704,0.128284216,0.109272391,0.033446029,-0.035003312,-0.254460722,-0.056199178,0.093917333,-0.055541165,0.120438211,0.007224315,dog_girl
by8,-0.089420013,0.053489871,0.034728386,-0.085305713,-0.129939541,-0.031235337,-0.04803025,-0.127768815,0.126740426,-0.170716628,0.19756496,-0.129230946,-0.247299224,-0.033597436,-0.095132686,0.268535018,-0.195995376,-0.143427074,-0.034335505,0.020011555,0.090419352,0.032210946,-0.064536907,0.065407023,-0.101625994,-0.316794723,-0.096347913,-0.012687157,-0.052795544,-0.066195622,-0.045944519,0.065367483,-0.177809462,-0.026739331,0.052478522,0.103096478,0.022993986,-0.145515174,0.142319694,0.013580711,-0.291397661,0.042857077,0.152282909,0.188351065,0.123209022,0.018918151,0.003190378,-0.161194235,0.127306283,-0.16337724,-0.014079345,0.088559829,0.074698813,0.036854967,-0.002915287,-0.171635613,0.041630208,0.146058589,-0.17220363,-0.006305297,0.151705354,-0.070631646,-0.006984007,-0.109192781,0.167245701,0.103701547,-0.0920408,-0.214169607,0.202761903,-0.165937975,-0.090911552,0.052242849,-0.122519948,-0.168724328,-0.286474019,-0.038880609,0.35813728,0.145326704,-0.141983807,0.009917166,0.025890831,0.024645694,0.137129128,0.154656768,0.029109731,-0.009180914,-0.067868061,0.003259836,0.27125746,0.007423037,-0.00771529,0.18979308,0.01441023,0.01156459,0.000483795,-0.006566565,-0.08500848,0.047769994,-0.132210091,0.021582037,-0.036649778,-0.037727199,-0.004759872,0.167521566,-0.133137777,0.105207391,-0.036624242,-0.010832667,-0.021883052,0.048293829,-0.077012472,-0.001416099,0.105060399,-0.180602551,0.170009241,0.151721388,0.080648385,0.069629721,0.103555195,0.11687874,-0.000505872,-0.052334055,-0.273832202,-0.072584063,0.094459429,-0.100130633,0.134379148,0.001104079,dog_girl
by9,-0.17297937,0.087353729,0.026252016,-0.106583215,-0.111022726,-0.015978191,-0.067851841,-0.091576442,0.122404881,-0.084548548,0.20873639,-0.100892454,-0.249236912,-0.069127567,-0.119310342,0.244892776,-0.213051796,-0.182614207,-0.013831298,0.025247965,0.130672351,0.015954074,-0.040098246,0.051721368,-0.142030358,-0.344409078,-0.080940835,-0.020818312,-0.041417334,-0.058447085,-0.013126873,-0.009693434,-0.223936483,-0.012068942,0.065704919,0.126914576,0.000406202,-0.128394753,0.122764386,-0.016033923,-0.296948522,0.025032552,0.157264888,0.19907096,0.159106106,0.056323018,-0.006594058,-0.163479254,0.095711492,-0.170963004,0.004515694,0.146270648,0.034115911,0.065454647,-0.019314144,-0.145567879,0.024042971,0.160803303,-0.152616873,-0.031176772,0.097658411,-0.0575829,-0.028811071,-0.152828604,0.180514663,0.07991574,-0.151710272,-0.244898453,0.144386217,-0.165185377,-0.086731523,0.084803045,-0.114576958,-0.196276352,-0.293098658,0.004266645,0.332982868,0.102723762,-0.123597942,0.056324281,0.013696535,0.031308204,0.078997388,0.152135834,0.015387809,0.039532386,-0.073366918,-0.017676458,0.276217103,-0.024154315,-0.000142542,0.187198922,-0.026329186,0.023859859,0.004767175,0.058854997,-0.079532981,0.069302246,-0.102328576,0.013932727,0.00616357,-0.03816352,-0.011090865,0.113129146,-0.125495881,0.089244723,-0.0169762,0.021125395,-0.020260796,-0.001697899,-0.085853301,-0.032061815,0.104283243,-0.23303023,0.255564302,0.186548531,0.094449498,0.095391184,0.161872372,0.091689035,0.007212047,-0.017763976,-0.216963708,-0.056472935,0.088437662,-0.093501493,0.128558949,-0.015126633,dog_girl
by10,-0.049448352,0.051303096,0.033726819,-0.084721074,-0.10817758,-0.013647097,-0.062931091,-0.136649072,0.139652476,-0.178938076,0.182765469,-0.111011654,-0.242551103,-0.032324422,-0.095258869,0.240286723,-0.154188946,-0.183384851,-0.063377731,0.020880282,0.08827053,0.09052372,-0.041283868,0.059895579,-0.119061895,-0.305647463,-0.087834194,-0.010438261,-0.035737768,-0.042822372,-0.061351452,0.074742414,-0.194030643,-0.003370592,0.086108193,0.142598063,0.029292345,-0.118898526,0.104335062,0.039134182,-0.292410374,0.076034464,0.092321791,0.217231691,0.130019069,0.02569771,0.004284689,-0.18532531,0.103362747,-0.154726133,-0.005430032,0.130591199,0.052212045,0.043358482,0.009637522,-0.169448301,0.059934005,0.09447366,-0.152295947,-0.011984449,0.140907183,-0.068274468,-0.013316223,-0.1211292,0.13914068,0.044471096,-0.078625895,-0.260949075,0.151003033,-0.211091533,-0.111392818,0.067798465,-0.154177427,-0.177239552,-0.303646266,-0.022096135,0.308264494,0.192190051,-0.154313639,0.113763809,0.071291551,0.07820449,0.131736085,0.177421644,0.032675955,0.100027762,-0.080580615,0.025063731,0.249401748,-0.048213158,-0.019582441,0.233633161,-0.010332474,0.030626774,0.032759335,-0.039231401,-0.054175004,0.039419513,-0.147468865,0.00774493,0.013815592,0.021986751,0.019620527,0.136215031,-0.108141035,0.102037601,-0.080315404,0.001630365,-0.017019931,0.031060068,-0.09031684,-0.043925636,0.119412169,-0.189745247,0.174637184,0.171351358,0.102484137,0.059708692,0.146720067,0.107061237,0.011277585,-0.000622956,-0.244888037,-0.068300538,0.101040974,-0.078740738,0.116213605,-0.00450464,dog_girl
